Product Name,SIZE,COLOUR,Brand,Category,Details ,SELLING PRICE INCLUDING GST ( Y / N ),Discount ,title
K-23-535 - Maroon,"36 - 1
37 - 1
38 - 1
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 2.5 
Colour - Maroon
Sole - TPR",3465,,"Women Maroon , Leather Block Heels Sandal "
K-23-535 - N Blue,"36 - 0
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 2.5 
Colour - N Blue
Sole - TPR",3465,,"Women Blue , Leather Block Heels Sandal "
K-18-263 - G M T,"36 - 1
37 - 1
38 - 2
39 - 1
40 - 0
41 - 1",G M T,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - G M T
Sole - TPR",3015,,Toe-Ring Flip-Flops Leather flat slippers
K-18-263 -  White,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",White,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - White
Sole - TPR",3015,,Women White Toe-Ring Flip-Flops Leather flat slippers
K-18-263 - Beige,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Beige,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Beige
Sole - TPR",3015,,Women Beige Toe-Ring Flip-Flops Leather flat slippers
K-23-115 - White,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",White,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - White
Sole - TPR",2785,,Women White Round Toe Thong SlidesLeather Flat 
K-23-115 - Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Rust
Sole - TPR",2785,,Women Rust Round Toe Thong SlidesLeather Flat 
K-23-115  - N Bule ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - N Blue
Sole - TPR",2785,,Women Blue Round Toe Thong SlidesLeather Flat 
K-19 -41 - Black ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Black,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2 
Colour - Black
Sole - TPR",3325,,
K-19 -41 - Beige ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Beige,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2 
Colour - Beige
Sole - TPR",3325,,
K-19 -41 - Rust ,"36 - 1
37 - 2
38 - 2
39 - 1
40 - 1
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2 
Colour - Rust
Sole - TPR",3325,,
K-23-705 - N.Blue ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - N.Blue
Sole - TPR",3435,,Women's Blue Low Top Flat Leather 
